id;tracking_code;date;details;invoice_id
1;versus;2025-02-02T17:44:16;chubby;1
2;floodlight bleak yearn;2025-02-02T23:57:19;despite;2
3;peter;2025-02-02T15:20:02;stay definite excluding;3
4;oof;2025-02-03T02:59:03;separate furthermore numb;4
5;gloom vast fellow;2025-02-02T20:39:54;drat;5
6;quirkily;2025-02-02T13:19:24;bah phooey unto;6
7;jiggle mechanically;2025-02-03T12:20:56;siege yawningly;7
8;fervently extent blah;2025-02-02T13:24:26;uh-huh;8
9;yet inculcate meanwhile;2025-02-02T12:33:40;overconfidently helpfully;9
10;suspension;2025-02-03T02:04:29;pure ack;10
