id;date;details;sent_date;format;user_id;product_id
1;2025-02-03T00:33:00;patroller now;2025-02-02T19:16:19;SMS;25553;12981
2;2025-02-02T14:11:40;enlightened;2025-02-02T17:37:26;EMAIL;18869;16204
3;2025-02-03T10:42:27;crystallize;2025-02-02T18:11:55;SMS;22000;4870
4;2025-02-02T16:41:21;duh irresponsible;2025-02-03T01:12:46;SMS;29030;25417
5;2025-02-02T17:21:30;selfishly;2025-02-02T14:10:37;PARCEL;15275;17598
6;2025-02-02T21:25:55;gee;2025-02-03T04:39:51;EMAIL;30621;31979
7;2025-02-02T16:08:46;especially without;2025-02-03T04:41:27;EMAIL;10132;11168
8;2025-02-02T13:32:29;yieldingly out;2025-02-02T16:43:52;SMS;16820;189
9;2025-02-03T00:27:39;likewise pace impure;2025-02-02T16:32:47;EMAIL;12391;10231
10;2025-02-02T22:51:14;gosh;2025-02-02T14:30:21;SMS;1120;28787
