id;placed_date;status;code;invoice_id;customer
1;2025-02-11T00:24:43;COMPLETED;scary wherever whose;19336;eek
2;2025-02-10T17:23:49;CANCELLED;physically;520;edge wretched
3;2025-02-11T09:40:24;COMPLETED;hence readmit;20778;draw apud
4;2025-02-11T10:14:12;COMPLETED;barring;2129;than
5;2025-02-10T23:25:42;COMPLETED;phew;981;phooey
6;2025-02-10T23:20:28;PENDING;utterly wisecrack aw;22957;hmph
7;2025-02-10T18:26:43;PENDING;off;16915;yum times if
8;2025-02-11T04:23:35;PENDING;slap;12592;subtract finally
9;2025-02-11T10:48:10;PENDING;onto loaf gee;16363;supposing
10;2025-02-11T06:37:22;CANCELLED;unimportant hmph recklessly;4172;clean rectangular
